account_id,hotel_name,country_code,city,website,phone,hotel_type_class,independent_chain_class,direct_booking_weakness,ota_dependency_signal_label,hotel_opening_hours,hotel_opening_hours_status,hotel_opening_hours_source_url,checkin_checkout_info,checkin_checkout_status,checkin_checkout_source_url,checkin_checkout_completeness,public_source_reachable,public_source_fetch_status,contact_status,factual_summary,rooms_range,room_count_value,room_count_status,business_interest_summary,why_commercially_interesting,property_positioning_summary,main_bottleneck_hypothesis,pain_point_hypothesis,best_entry_angle,recommended_hook,recommended_first_contact_route,likely_decision_maker_hypothesis,service_complexity_read,commercial_complexity_read,direct_booking_friction_hypothesis,contact_route_friction_hypothesis,commercial_verdict,give_first_insight,main_observed_issue,proof_snippet,primary_email_goal,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,email_angle,cta_type,variant_id,test_batch,reply_outcome,review_flag,review_reason,active_icp_profile,source_file,ranking_score_final,priority_level_final,rank_bucket_final,ranking_refresh_reason,ranking_upside_reasons,ranking_downside_reasons,ranking_missingness_notes,decision_status,manual_review_needed,review_queue_reason_codes,artifact_scope
acc_0896e3e596db,Killara Hotel & Suites,AU,Killara,https://www.killarasuites.com.au/,+61 2 9410 1966,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Killara Hotel & Suites | Mesto: Killara | Kategória: Hotel | Priorita: Medium-High (7.6) | Hodnotenie: 3.6/5 z 292 recenzií | Web: https://www.killarasuites.com.au/ | Telefón: +61 2 9410 1966 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_08daa0dc47d6,The Richmond Inn,AU,Richmond,https://richmondinn.com.au/,+61 2 4578 1044,Other lodging,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: The Richmond Inn | Mesto: Richmond | Kategória: Motel | Priorita: Medium (6.56) | Hodnotenie: 4.0/5 z 434 recenzií | Web: https://richmondinn.com.au/ | Telefón: +61 2 4578 1044 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_0b282bf71426,Hornsby Railway Hotel,AU,Hornsby,http://www.hornsbyrailwayhotel.com.au/,+61 2 9477 1115,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Hornsby Railway Hotel | Mesto: Hornsby | Kategória: Hotel | Priorita: Medium-High (7.75) | Hodnotenie: 3.9/5 z 215 recenzií | Web: http://www.hornsbyrailwayhotel.com.au/ | Telefón: +61 2 9477 1115 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_0fd3e0234b8d,Bligh Park Hotel,AU,South Windsor,https://www.blighparkhotel.com.au/,+61 2 4545 2540,Other lodging,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Bligh Park Hotel | Mesto: South Windsor | Kategória: Pub | Priorita: Low (6.1) | Hodnotenie: 4.3/5 z 672 recenzií | Web: https://www.blighparkhotel.com.au/ | Telefón: +61 2 4545 2540 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,C,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_142e3a282630,Colonial Motel Richmond,AU,Richmond,http://www.colonialmotel.com.au/,+61 2 4578 1166,Other lodging,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Colonial Motel Richmond | Mesto: Richmond | Kategória: Motel | Priorita: Low (6.04) | Hodnotenie: 4.3/5 z 210 recenzií | Web: http://www.colonialmotel.com.au/ | Telefón: +61 2 4578 1166 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,C,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_1abca1cd9222,Barrenjoey House Palm Beach,AU,Palm Beach,http://www.barrenjoeyhousepalmbeach.com.au/,+61 2 9974 4001,Other lodging,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Barrenjoey House Palm Beach | Mesto: Palm Beach | Kategória: Restaurant | Priorita: Low (6.41) | Hodnotenie: 4.2/5 z 1047 recenzií | Web: http://www.barrenjoeyhousepalmbeach.com.au/ | Telefón: +61 2 9974 4001 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,C,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_1af3327afca6,Checkers Resort & Conference Centre,AU,Terrey Hills,https://checkers.com.au/,+61 2 9450 2422,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Checkers Resort & Conference Centre | Mesto: Terrey Hills | Kategória: Resort hotel | Priorita: Medium (7.44) | Hodnotenie: 3.7/5 z 264 recenzií | Web: https://checkers.com.au/ | Telefón: +61 2 9450 2422 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_1b4eca29f1ed,North Richmond Hotel,AU,North Richmond,,+61 2 4571 1565,Preferred hotel,Independent candidate,Website missing,Unknown / likely higher OTA reliance,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,missing_website,Čiastočne overené z raw vstupu: len telefón,Hotel: North Richmond Hotel | Mesto: North Richmond | Kategória: Hotel | Priorita: Low (5.84) | Hodnotenie: 4.2/5 z 153 recenzií | Web: Verejne nepotvrdené | Telefón: +61 2 4571 1565 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_missing | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,Medium,7.0,Missing,Low,website_missing,1,geo_mismatch | website_missing | website_missing,C,geo_mismatch | website_missing | website_missing,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_1c67b87dedcc,Nightcap at Blue Cattle Dog Hotel,AU,St Clair,,+61 2 9670 3050,Preferred hotel,Independent candidate,Website missing,Unknown / likely higher OTA reliance,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,missing_website,Čiastočne overené z raw vstupu: len telefón,Hotel: Nightcap at Blue Cattle Dog Hotel | Mesto: St Clair | Kategória: Hotel | Priorita: Low (5.82) | Hodnotenie: 4.0/5 z 76 recenzií | Web: Verejne nepotvrdené | Telefón: +61 2 9670 3050 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_missing | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,Medium,7.0,Missing,Low,website_missing,1,geo_mismatch | website_missing | website_missing,C,geo_mismatch | website_missing | website_missing,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
acc_1d8f04b549ce,Nesuto Pennant Hills Apartment Hotel,AU,Pennant Hills,https://www.nesuto.com/pennanthills,+61 2 8401 1500,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Nesuto Pennant Hills Apartment Hotel | Mesto: Pennant Hills | Kategória: Hotel | Priorita: Medium-High (7.58) | Hodnotenie: 3.6/5 z 184 recenzií | Web: https://www.nesuto.com/pennanthills | Telefón: +61 2 8401 1500 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,,,,,,,,,,,,,,,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,,,,,,,,,,,full_batch_canonical
