Task name,Description content,Status,Priority,Hotel name,City,Priority score,Contact phone,Contact website,Subject line,Source file,Email angle,CTA type,Variant ID,Test batch,Reply outcome,Give-first insight,Main observed issue,Email hook,Micro CTA,Proof snippet,Primary email goal
Lead outreach - Loft Hotel Bratislava,"Hotel: Loft Hotel Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 9.37
Web: https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph
Telefón: +421 901 902 680
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na Loft Hotel Bratislava v lokalite Bratislava.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na Loft Hotel Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.37), s hodnotením 4.7/5 z 1252 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Loft Hotel Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,Loft Hotel Bratislava,Bratislava,9.37,+421 901 902 680,https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph,Loft Hotel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Loft Hotel Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
"Lead outreach - Radisson Blu Carlton Hotel, Bratislava","Hotel: Radisson Blu Carlton Hotel, Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 9.36
Web: https://www.radissonhotels.com/en-us/hotels/radisson-blu-bratislava-carlton?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:cese+h:SKBTSCAR
Telefón: +421 2/593 905 00
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na Radisson Blu Carlton Hotel, Bratislava v lokalite Bratislava.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na Radisson Blu Carlton Hotel, Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.36), s hodnotením 4.6/5 z 2892 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Radisson Blu Carlton Hotel, Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,"Radisson Blu Carlton Hotel, Bratislava",Bratislava,9.36,+421 2/593 905 00,https://www.radissonhotels.com/en-us/hotels/radisson-blu-bratislava-carlton?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:cese+h:SKBTSCAR,"Radisson Blu Carlton Hotel, Bratislava: krátky postreh",raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,"Pozeral som sa na Radisson Blu Carlton Hotel, Bratislava v lokalite Bratislava.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - Areál vodných športov Čunovo,"Hotel: Areál vodných športov Čunovo
Mesto: Čunovo
Priorita band: High
Skóre: 9.35
Web: http://www.divokavoda.sk/
Telefón: +421 905 313 429
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na Areál vodných športov Čunovo v lokalite Čunovo.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na Areál vodných športov Čunovo v lokalite Čunovo.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Čunovo, s prioritou High (9.35), s hodnotením 4.5/5 z 931 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Areál vodných športov Čunovo.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,Areál vodných športov Čunovo,Čunovo,9.35,+421 905 313 429,http://www.divokavoda.sk/,Areál vodných športov Čunovo: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Areál vodných športov Čunovo v lokalite Čunovo.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - AC Hotel Bratislava Old Town,"Hotel: AC Hotel Bratislava Old Town
Mesto: Bratislava
Priorita band: High
Skóre: 9.35
Web: https://www.marriott.com/en-us/hotels/btsar-ac-hotel-bratislava-old-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
Telefón: +421 2/200 200 00
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na AC Hotel Bratislava Old Town v lokalite Bratislava.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na AC Hotel Bratislava Old Town v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.35), s hodnotením 4.5/5 z 890 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre AC Hotel Bratislava Old Town.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,AC Hotel Bratislava Old Town,Bratislava,9.35,+421 2/200 200 00,https://www.marriott.com/en-us/hotels/btsar-ac-hotel-bratislava-old-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,AC Hotel Bratislava Old Town: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na AC Hotel Bratislava Old Town v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - Ponteo Activity Park Rusovce - hotel & reštaurácia,"Hotel: Ponteo Activity Park Rusovce - hotel & reštaurácia
Mesto: Rusovce
Priorita band: High
Skóre: 9.34
Web: http://www.ponteo.sk/
Telefón: +421 2/209 090 10
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na Ponteo Activity Park Rusovce - hotel & reštaurácia v lokalite Rusovce.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na Ponteo Activity Park Rusovce - hotel & reštaurácia v lokalite Rusovce.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Rusovce, s prioritou High (9.34), s hodnotením 4.4/5 z 835 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Ponteo Activity Park Rusovce - hotel & reštaurácia.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,Ponteo Activity Park Rusovce - hotel & reštaurácia,Rusovce,9.34,+421 2/209 090 10,http://www.ponteo.sk/,Ponteo Activity Park Rusovce - hotel & reštaurácia: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Ponteo Activity Park Rusovce - hotel & reštaurácia v lokalite Rusovce.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,"Hotel: CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 9.34
Web: http://www.cho.rs/
Telefón: +421 910 127 878
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava v lokalite Bratislava.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.34), s hodnotením 4.4/5 z 784 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,Bratislava,9.34,+421 910 127 878,http://www.cho.rs/,CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - Park Inn by Radisson Danube Bratislava,"Hotel: Park Inn by Radisson Danube Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 9.33
Web: https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:cese+h:SKBTSDAN
Telefón: +421 2/593 400 00
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na Park Inn by Radisson Danube Bratislava v lokalite Bratislava.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na Park Inn by Radisson Danube Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.33), s hodnotením 4.3/5 z 2417 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Park Inn by Radisson Danube Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,Park Inn by Radisson Danube Bratislava,Bratislava,9.33,+421 2/593 400 00,https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:cese+h:SKBTSDAN,Park Inn by Radisson Danube Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Park Inn by Radisson Danube Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - WX Hotel,"Hotel: WX Hotel
Mesto: Devínska Nová Ves
Priorita band: High
Skóre: 9.32
Web: https://www.wxhotel.sk/
Telefón: +421 948 946 835
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na WX Hotel v lokalite Devínska Nová Ves.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na WX Hotel v lokalite Devínska Nová Ves.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Devínska Nová Ves, s prioritou High (9.32), s hodnotením 4.2/5 z 508 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre WX Hotel.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,WX Hotel,Devínska Nová Ves,9.32,+421 948 946 835,https://www.wxhotel.sk/,WX Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na WX Hotel v lokalite Devínska Nová Ves.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - HOTEL BRATISLAVA,"Hotel: HOTEL BRATISLAVA
Mesto: Bratislava
Priorita band: High
Skóre: 9.31
Web: http://www.hotelbratislava.sk/
Telefón: +421 2/206 061 00
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na HOTEL BRATISLAVA v lokalite Bratislava.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na HOTEL BRATISLAVA v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.31), s hodnotením 4.1/5 z 3307 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre HOTEL BRATISLAVA.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,HOTEL BRATISLAVA,Bratislava,9.31,+421 2/206 061 00,http://www.hotelbratislava.sk/,HOTEL BRATISLAVA: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na HOTEL BRATISLAVA v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
Lead outreach - Hotel Gracia Bratislava,"Hotel: Hotel Gracia Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 9.29
Web: http://www.botelgracia.sk/
Telefón: +421 2/544 321 32
Email angle: opening_hours_clarity
CTA type: low_friction_permission
Variant ID: A1
Test batch: raw_bratislava region_2026-04-01_21-01-58-857
Reply outcome: nan

Email hook: Pozeral som sa na Hotel Gracia Bratislava v lokalite Bratislava.
Give-first insight: Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Main observed issue: Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.
Proof snippet: Pozeral som len verejne dostupný profil a základné kontaktné údaje.
Micro CTA: Ak chcete, pošlem 3 stručné postrehy v krátkej forme.
Primary email goal: reply_with_permission

Cold email:
Dobrý deň,

Pozeral som sa na Hotel Gracia Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.29), s hodnotením 3.9/5 z 1032 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Gracia Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",to do,2,Hotel Gracia Bratislava,Bratislava,9.29,+421 2/544 321 32,http://www.botelgracia.sk/,Hotel Gracia Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Gracia Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission
