account_id,record_rank,source_file,hotel_name,hotel_name_normalized,country_code,city,state,street,website,website_domain,phone,category_name,hotel_type_class,geography_fit,independent_chain_class,ownership_type,review_score,reviews_count,icp_fit_score,icp_fit_class,non_icp_but_keep,fit_confidence,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,ranking_reason,ranking_score,priority_score,priority_band,dedupe_status,duplicate_group_id,contact_duplicate_flag,review_flag,review_reason,manual_merge_candidate,source_url
acc_62161d3a01a3,1,Paris 100.csv,Hôtel Duo by Collection Vesper,h tel duo by collection vesper,FR,Paris,,11 Rue du Temple,http://www.duo-paris.com/,duo-paris.com,+33 1 42 72 72 22,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,756,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.4,8.14,Medium-High,unique,h tel duo by collection vesper|paris|11 rue du temple,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20Duo%20by%20Collection%20Vesper&query_place_id=ChIJWU9CqB1u5kcR5P1F2SMoJmc
acc_586500ce206d,2,Paris 100.csv,Piapia Hotel,piapia hotel,FR,Paris,,14 Rue des Maraîchers,https://www.piapiahotel.com/?utm_source=gmb&utm_medium=organic&utm_campaign=fiche_gmb,piapiahotel.com,+33 1 43 72 51 96,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,502,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.4,8.14,Medium-High,unique,piapia hotel|paris|14 rue des mara chers,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Piapia%20Hotel&query_place_id=ChIJFZPojKxz5kcR1rjSQ1yTkfc
acc_6d47441b512f,3,Paris 100.csv,LE COSY PICPUS,le cosy picpus,FR,Paris,,50 Av. de Saint-Mandé,https://www.lepetitcosyhotel.com/,lepetitcosyhotel.com,+33 1 43 43 08 21,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.2,2273,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.34,8.13,Medium-High,unique,le cosy picpus|paris|50 av de saint mand,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=LE%20COSY%20PICPUS&query_place_id=ChIJoUxsKmVy5kcRixUTMZ7TrS8
acc_914723c0f099,4,Paris 100.csv,Le Bellune Bar Hotel & Spa Paris,le bellune bar hotel spa paris,FR,Paris,,35 Bd Victor,http://www.lebelluneparis.com/,lebelluneparis.com,+33 1 85 74 62 62,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.1,318,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,80.96,8.1,Medium-High,unique,le bellune bar hotel spa paris|paris|35 bd victor,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Le%20Bellune%20Bar%20Hotel%20%26%20Spa%20Paris&query_place_id=ChIJ42i_1Klx5kcRCB65QYU7_f4
acc_74acc0bcddb5,5,Paris 100.csv,Yooma Urban Lodge Tour Eiffel,yooma urban lodge tour eiffel,FR,Paris,,51 Quai de Grenelle,https://www.yooma-hotels.com/,yooma-hotels.com,+33 1 44 09 00 13,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.2,2349,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.74,7.97,Medium-High,unique,yooma urban lodge tour eiffel|paris|51 quai de grenelle,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Yooma%20Urban%20Lodge%20Tour%20Eiffel&query_place_id=ChIJ5_-sRARw5kcRUyQsODbZQlU
acc_b929f2f1f075,6,Paris 100.csv,Hôtel Campanile Paris Bercy Village,h tel campanile paris bercy village,FR,Paris,,17 Rue Baron le Roy,https://hotelbercy.com/,hotelbercy.com,+33 1 44 67 75 75,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.0,2956,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.7,7.97,Medium-High,unique,h tel campanile paris bercy village|paris|17 rue baron le roy,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20Campanile%20Paris%20Bercy%20Village&query_place_id=ChIJOZIp44m8tRIRJsrQU-CBbEM
acc_549128918448,7,Paris 100.csv,Maison Cassandre,maison cassandre,FR,Paris,,15 Av. de Clichy,https://hotel-maison-cassandre.com/,hotel-maison-cassandre.com,+33 1 76 21 40 88,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,172,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.16,7.92,Medium-High,unique,maison cassandre|paris|15 av de clichy,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Maison%20Cassandre&query_place_id=ChIJuyJFVvhv5kcRqGjZEFu9AV4
acc_ed40f8e32ecf,8,Paris 100.csv,mk2 Hotel Paradiso,mk2 hotel paradiso,FR,Paris,,135 Bd Diderot,https://www.mk2hotelparadiso.com/,mk2hotelparadiso.com,+33 1 88 59 20 01,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,613,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,78.22,7.82,Medium-High,unique,mk2 hotel paradiso|paris|135 bd diderot,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=mk2%20Hotel%20Paradiso&query_place_id=ChIJHdG8xElz5kcR7rvDSjDQ988
acc_4a37325af7ed,9,Paris 100.csv,Lion d'Or Paris Hotel & Suites,lion d or paris hotel suites,FR,Paris,,5 Rue de la Sourdière,http://www.hotelduliondor.com/,hotelduliondor.com,+33 1 42 60 79 04,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,862,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,76.6,7.66,Medium-High,unique,lion d or paris hotel suites|paris|5 rue de la sourdi re,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Lion%20d'Or%20Paris%20Hotel%20%26%20Suites&query_place_id=ChIJAdIyyC9u5kcR7Kv4rvJwXaI
acc_5ae29fd59b57,10,Paris 100.csv,Hôtel de Paris Montparnasse,h tel de paris montparnasse,FR,Paris,,51 Av. du Maine,http://www.hotel-montparnasse.fr/,hotel-montparnasse.fr,+33 1 43 22 10 13,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.3,1036,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,76.56,7.66,Medium-High,unique,h tel de paris montparnasse|paris|51 av du maine,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20de%20Paris%20Montparnasse&query_place_id=ChIJU8t8Fctx5kcROb1uZeRI3O8
acc_460a73d8cb6d,11,Paris 100.csv,"The Originals Boutique, Hôtel Maison Montmartre, Paris",the originals boutique h tel maison montmartre paris,FR,Paris,,32 Av. de la Prte de Montmartre,https://www.hotelmaisonmontmartre.com/?utm_campaign=uberall&utm_medium=organic&utm_source=googlelisting,hotelmaisonmontmartre.com,+33 1 83 75 51 51,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.1,1985,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,76.52,7.65,Medium-High,unique,the originals boutique h tel maison montmartre paris|paris|32 av de la prte de montmartre,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=The%20Originals%20Boutique%2C%20H%C3%B4tel%20Maison%20Montmartre%2C%20Paris&query_place_id=ChIJ_Tpw3flu5kcRfnJWxq8vXps
