account_id,hotel_name,country_code,city,website,phone,hotel_type_class,independent_chain_class,direct_booking_weakness,ota_dependency_signal_label,hotel_opening_hours,hotel_opening_hours_status,hotel_opening_hours_source_url,checkin_checkout_info,checkin_checkout_status,checkin_checkout_source_url,checkin_checkout_completeness,public_source_reachable,public_source_fetch_status,contact_status,factual_summary,rooms_range,room_count_value,room_count_status,business_interest_summary,main_bottleneck_hypothesis,pain_point_hypothesis,recommended_hook,commercial_verdict,give_first_insight,main_observed_issue,proof_snippet,primary_email_goal,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,email_angle,cta_type,variant_id,test_batch,reply_outcome,review_flag,review_reason,active_icp_profile,source_file,ranking_score_final,priority_level_final,rank_bucket_final,ranking_refresh_reason
acc_30048fcea764,Royal Hotel,AU,Springwood,http://www.royalhotelspringwood.com.au/,+61 2 4751 1021,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Opening hours: (subject to change) Mon - Wed 10:00 am - 11:00 pm Thursday 10:00 am - 1:00 am Fri - Sat 10:00 am - 1:30 am Sunday 10:00 am,Overené vo verejnom zdroji,http://www.royalhotelspringwood.com.au/,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,Hotel: Royal Hotel | Mesto: Springwood | Kategória: Pub | Priorita: Medium-High (7.97) | Hodnotenie: 4.1/5 z 539 recenzií | Web: http://www.royalhotelspringwood.com.au/ | Telefón: +61 2 4751 1021 | Otváracie hodiny: Opening hours: (subject to change) Mon - Wed 10:00 am - 11:00 pm Thursday 10:00 am - 1:00 am Fri - Sat 10:00 am - 1:30 am Sunday 10:00 am (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,Verejne nepotvrdené,Royal Hotel v Springwood je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",opatrný prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedený check-in a check-out.,Na webe som nenašiel jasne uvedený check-in a check-out na prvý pohľad.,Vychádzal som z verejne uvedených hodín: Opening hours: (subject to change) Mon - Wed 10:00 am - 11:00 pm Thursday 10:00 am - 1:00 am Fri - Sat 10:00 am - 1:30 am Sunday 10:00 am.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,checkin_checkout_clarity,low_friction_permission,A2,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,78.72,Medium-High,B,commercial_verdict_cautious | opening_hours_verified
acc_401880adbecd,Quest Penrith,AU,Penrith,https://www.questapartments.com.au/properties/nsw/penrith/quest-penrith,+61 2 9136 1100,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,Hotel: Quest Penrith | Mesto: Penrith | Kategória: Hotel | Priorita: Medium-High (7.96) | Hodnotenie: 4.6/5 z 375 recenzií | Web: https://www.questapartments.com.au/properties/nsw/penrith/quest-penrith | Telefón: +61 2 9136 1100 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,Verejne nepotvrdené,Quest Penrith v Penrith pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,82.57,Medium-High,B,commercial_verdict_interesting
acc_40da1daa32cc,Doonside Hotel,AU,Doonside,https://www.doonsidehotel.com/,+61 2 9622 6585,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,Hotel: Doonside Hotel | Mesto: Doonside | Kategória: Hotel | Priorita: Medium-High (7.94) | Hodnotenie: 3.8/5 z 363 recenzií | Web: https://www.doonsidehotel.com/ | Telefón: +61 2 9622 6585 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,Verejne nepotvrdené,Doonside Hotel v Doonside je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",opatrný prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,77.39,Medium-High,B,commercial_verdict_cautious
acc_462634ba1b0d,The Hornsby Inn,AU,Hornsby,https://hornsbyinn.com.au/,+61 2 5302 9307,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday: 10:00-03:00; Sunday: 10:00-22:00",Overené vo verejnom zdroji,https://hornsbyinn.com.au/,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,"Hotel: The Hornsby Inn | Mesto: Hornsby | Kategória: Pub | Priorita: Medium-High (8.13) | Hodnotenie: 4.0/5 z 682 recenzií | Web: https://hornsbyinn.com.au/ | Telefón: +61 2 5302 9307 | Otváracie hodiny: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday: 10:00-03:00; Sunday: 10:00-22:00 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)",1-15,10.0,public_confirmed,The Hornsby Inn v Hornsby je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedený check-in a check-out.,Na webe som nenašiel jasne uvedený check-in a check-out na prvý pohľad.,"Vychádzal som z verejne uvedených hodín: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday: 10:00-03:00; Sunday: 10:00-22:00.",reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,checkin_checkout_clarity,low_friction_permission,A2,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,86.3,High,A,commercial_verdict_interesting | opening_hours_verified | room_count_public_confirmed
acc_50ce289c9223,Spicers Sangoma Retreat,AU,Bowen Mountain,https://spicersretreats.com/retreats/spicers-sangoma-retreat/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 1300 352 190,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,http_error,Overené z raw vstupu: web aj telefón,Hotel: Spicers Sangoma Retreat | Mesto: Bowen Mountain | Kategória: Hotel | Priorita: Medium-High (8.1) | Hodnotenie: 4.8/5 z 248 recenzií | Web: https://spicersretreats.com/retreats/spicers-sangoma-retreat/?utm_source=google&utm_medium=organic&utm_campaign=gmb | Telefón: +61 1300 352 190 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,Verejne nepotvrdené,Spicers Sangoma Retreat v Bowen Mountain pôsobí obchodne zaujímavo najmä pre širší service mix a viac typov dopytu.,Pri širšom service mixe sa môže časť dopytu strácať medzi typom záujmu a správnym ďalším krokom.,Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, či má každý typ hosťa okamžite jasné, čo má spraviť ako prvé.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,A,top_ranked,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,83.96,Medium-High,B,commercial_verdict_interesting
acc_5970be661818,Jonah’s Restaurant & Boutique Hotel,AU,Palm Beach,http://www.jonahs.com.au/,+61 2 9974 5599,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,Hotel: Jonah’s Restaurant & Boutique Hotel | Mesto: Palm Beach | Kategória: Restaurant | Priorita: Medium-High (8.14) | Hodnotenie: 4.6/5 z 946 recenzií | Web: http://www.jonahs.com.au/ | Telefón: +61 2 9974 5599 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,Verejne nepotvrdené,Jonah’s Restaurant & Boutique Hotel v Palm Beach je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,84.42,Medium-High,B,commercial_verdict_interesting
acc_6bb4cbb1a3e4,Seranin | Gordon,AU,Gordon,http://www.seranin.com.au/,+61 1300 821 332,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,Hotel: Seranin | Gordon | Mesto: Gordon | Kategória: Motel | Priorita: Medium-High (8.03) | Hodnotenie: 3.5/5 z 65 recenzií | Web: http://www.seranin.com.au/ | Telefón: +61 1300 821 332 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,Verejne nepotvrdené,Seranin | Gordon v Gordon je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,83.33,Medium-High,B,commercial_verdict_interesting
acc_85a1025fc0d6,Quest Bella Vista,AU,Bella Vista,http://www.questapartments.com.au/properties/nsw/bella-vista/quest-bella-vista/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=bellavista,+61 2 8818 9300,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,Hotel: Quest Bella Vista | Mesto: Bella Vista | Kategória: Hotel | Priorita: Medium-High (7.98) | Hodnotenie: 4.5/5 z 1537 recenzií | Web: http://www.questapartments.com.au/properties/nsw/bella-vista/quest-bella-vista/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=bellavista | Telefón: +61 2 8818 9300 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),,,Verejne nepotvrdené,Quest Bella Vista v Bella Vista pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,82.8,Medium-High,B,commercial_verdict_interesting
acc_9f2cb7250cf5,Miramare Gardens,AU,Terrey Hills,https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 2 9450 2000,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday 09:00-17:00",Overené vo verejnom zdroji,https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,ok,Overené z raw vstupu: web aj telefón,"Hotel: Miramare Gardens | Mesto: Terrey Hills | Kategória: Hotel | Priorita: Medium-High (8.14) | Hodnotenie: 4.4/5 z 790 recenzií | Web: https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb | Telefón: +61 2 9450 2000 | Otváracie hodiny: Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday 09:00-17:00 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)",,,Verejne nepotvrdené,Miramare Gardens v Terrey Hills pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedený check-in a check-out.,Na webe som nenašiel jasne uvedený check-in a check-out na prvý pohľad.,"Vychádzal som z verejne uvedených hodín: Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday 09:00-17:00.",reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,geo_mismatch,A,top_ranked,checkin_checkout_clarity,low_friction_permission,A2,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,85.38,High,A,commercial_verdict_interesting | opening_hours_verified
acc_d7e3595aefb6,Billabong Retreat,AU,Maraylya,http://www.billabongretreat.com.au/,+61 2 4573 6080,Preferred hotel,Independent candidate,Needs direct booking clarity,Low visible,Verejne nepotvrdené,Verejne nepotvrdené,,Check-in od 08:30,Overené vo verejnom zdroji,http://www.billabongretreat.com.au/faqs,single_side,yes,ok,Overené z raw vstupu: web aj telefón,Hotel: Billabong Retreat | Mesto: Maraylya | Kategória: Resort hotel | Priorita: Medium-High (8.1) | Hodnotenie: 4.7/5 z 286 recenzií | Web: http://www.billabongretreat.com.au/ | Telefón: +61 2 4573 6080 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Check-in od 08:30 (Overené vo verejnom zdroji),,,Verejne nepotvrdené,Billabong Retreat v Maraylya pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.","Hosť nemusí mať na prvý pohľad jasné, kedy a ako sa vie spojiť s hotelom alebo prevádzkou.","Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.",zaujímavý prospect,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Vychádzal som z verejne uvedeného check-in/check-out: Check-in od 08:30.,reply_with_permission,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,opening_hours_clarity,low_friction_permission,A1,Sydney 100,,yes,out_of_profile_geography,slovakia_independent_3_4_star,Sydney 100.csv,85.51,High,A,commercial_verdict_interesting | checkin_verified
