Task name,Status,Priority,Account ID,Account Status,Hotel name,Country,City / Region,Priority score,Priority Level,ICP Fit,Rank bucket,Rank bucket reason,Why not top tier,Chain signal confidence,Ranking reason,Main Pain Hypothesis,Subject line,Source file
Lead outreach - Hôtel Duo by Collection Vesper,to do,,acc_62161d3a01a3,Researching,Hôtel Duo by Collection Vesper,FR,Paris,8.14,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hôtel Duo by Collection Vesper: krátky postreh,Paris 100.csv
Lead outreach - Piapia Hotel,to do,,acc_586500ce206d,Researching,Piapia Hotel,FR,Paris,8.14,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Piapia Hotel: krátky postreh,Paris 100.csv
Lead outreach - LE COSY PICPUS,to do,,acc_6d47441b512f,Researching,LE COSY PICPUS,FR,Paris,8.13,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,LE COSY PICPUS: krátky postreh,Paris 100.csv
Lead outreach - Le Bellune Bar Hotel & Spa Paris,to do,,acc_914723c0f099,Researching,Le Bellune Bar Hotel & Spa Paris,FR,Paris,8.1,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Le Bellune Bar Hotel & Spa Paris: krátky postreh,Paris 100.csv
Lead outreach - Yooma Urban Lodge Tour Eiffel,to do,,acc_74acc0bcddb5,Researching,Yooma Urban Lodge Tour Eiffel,FR,Paris,7.97,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Yooma Urban Lodge Tour Eiffel: krátky postreh,Paris 100.csv
Lead outreach - Hôtel Campanile Paris Bercy Village,to do,,acc_b929f2f1f075,Researching,Hôtel Campanile Paris Bercy Village,FR,Paris,7.97,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hôtel Campanile Paris Bercy Village: krátky postreh,Paris 100.csv
Lead outreach - Maison Cassandre,to do,,acc_549128918448,Researching,Maison Cassandre,FR,Paris,7.92,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Maison Cassandre: krátky postreh,Paris 100.csv
Lead outreach - mk2 Hotel Paradiso,to do,,acc_ed40f8e32ecf,Researching,mk2 Hotel Paradiso,FR,Paris,7.82,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,mk2 Hotel Paradiso: krátky postreh,Paris 100.csv
Lead outreach - Lion d'Or Paris Hotel & Suites,to do,,acc_4a37325af7ed,Researching,Lion d'Or Paris Hotel & Suites,FR,Paris,7.66,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Lion d'Or Paris Hotel & Suites: krátky postreh,Paris 100.csv
Lead outreach - Hôtel de Paris Montparnasse,to do,,acc_5ae29fd59b57,Researching,Hôtel de Paris Montparnasse,FR,Paris,7.66,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hôtel de Paris Montparnasse: krátky postreh,Paris 100.csv
"Lead outreach - The Originals Boutique, Hôtel Maison Montmartre, Paris",to do,,acc_460a73d8cb6d,Researching,"The Originals Boutique, Hôtel Maison Montmartre, Paris",FR,Paris,7.65,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,"The Originals Boutique, Hôtel Maison Montmartre, Paris: krátky postreh",Paris 100.csv
Lead outreach - Kopster Hotel Paris Porte de Versailles,to do,,acc_fb56e7251eaf,Researching,Kopster Hotel Paris Porte de Versailles,FR,Paris,7.62,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Kopster Hotel Paris Porte de Versailles: krátky postreh,Paris 100.csv
Lead outreach - Hôtel L de Lutèce - Notre Dame,to do,,acc_40f47c240bc4,Researching,Hôtel L de Lutèce - Notre Dame,FR,Paris,7.61,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hôtel L de Lutèce - Notre Dame: krátky postreh,Paris 100.csv
Lead outreach - Hôtel de Sèvres,to do,,acc_69474a9131e7,Researching,Hôtel de Sèvres,FR,Paris,7.59,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hôtel de Sèvres: krátky postreh,Paris 100.csv
Lead outreach - Eden Lodge Paris,to do,,acc_6db0cbf2e3b9,Researching,Eden Lodge Paris,FR,Paris,7.58,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Eden Lodge Paris: krátky postreh,Paris 100.csv
