account_id,hotel_name,priority_band,ranking_score,google_places_status,room_count_status,rooms_range,opening_hours_status,checkin_checkout_status,ownership_status,commercial_verdict,recommended_hook
acc_5970be661818,Jonah’s Restaurant & Boutique Hotel,Medium-High,81.42,ok,Verejne nepotvrdené,,Overené vo verejnom zdroji,Verejne nepotvrdené,raw_confirmed,zaujímavý prospect,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad."
acc_9f2cb7250cf5,Miramare Gardens,Medium-High,81.38,ok,Verejne nepotvrdené,,Overené vo verejnom zdroji,Verejne nepotvrdené,public_confirmed,zaujímavý prospect,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu."
acc_462634ba1b0d,The Hornsby Inn,Medium-High,81.3,ok,public_confirmed,1-15,Overené vo verejnom zdroji,Verejne nepotvrdené,raw_confirmed,zaujímavý prospect,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad."
acc_d7e3595aefb6,Billabong Retreat,Medium-High,81.01,ok,Verejne nepotvrdené,,Verejne nepotvrdené,Overené vo verejnom zdroji,public_confirmed,silný prospect,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu."
acc_50ce289c9223,Spicers Sangoma Retreat,Medium-High,80.96,ok,Verejne nepotvrdené,,Overené vo verejnom zdroji,Verejne nepotvrdené,raw_confirmed,zaujímavý prospect,"Krátky pohľad na to, či má každý typ hosťa okamžite jasné, čo má spraviť ako prvé."
acc_6bb4cbb1a3e4,Seranin | Gordon,Medium-High,80.33,ok,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,public_confirmed,zaujímavý prospect,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad."
acc_85a1025fc0d6,Quest Bella Vista,Medium-High,79.8,ok,Verejne nepotvrdené,,Overené vo verejnom zdroji,Verejne nepotvrdené,public_confirmed,zaujímavý prospect,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu."
acc_30048fcea764,Royal Hotel,Medium-High,79.72,ok,Verejne nepotvrdené,,Overené vo verejnom zdroji,Verejne nepotvrdené,raw_confirmed,opatrný prospect,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad."
acc_401880adbecd,Quest Penrith,Medium-High,79.57,ok,Verejne nepotvrdené,,Verejne nepotvrdené,Verejne nepotvrdené,public_confirmed,zaujímavý prospect,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu."
acc_40da1daa32cc,Doonside Hotel,Medium-High,79.39,ok,Verejne nepotvrdené,,Overené vo verejnom zdroji,Verejne nepotvrdené,raw_confirmed,opatrný prospect,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad."
