Task name,Status,Priority,Account ID,Account Status,Hotel name,Country,City / Region,Priority score,Priority Level,ICP Fit,Rank bucket,Rank bucket reason,Why not top tier,Chain signal confidence,Ranking reason,Main Pain Hypothesis,Subject line,Source file
Lead outreach - Jonah’s Restaurant & Boutique Hotel,to do,,acc_5970be661818,Researching,Jonah’s Restaurant & Boutique Hotel,AU,Palm Beach,8.14,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Jonah’s Restaurant & Boutique Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Miramare Gardens,to do,,acc_9f2cb7250cf5,Researching,Miramare Gardens,AU,Terrey Hills,8.14,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Miramare Gardens: krátky postreh,Sydney 100.csv
Lead outreach - The Hornsby Inn,to do,,acc_462634ba1b0d,Researching,The Hornsby Inn,AU,Hornsby,8.13,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,The Hornsby Inn: krátky postreh,Sydney 100.csv
Lead outreach - Billabong Retreat,to do,,acc_d7e3595aefb6,Researching,Billabong Retreat,AU,Maraylya,8.1,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Billabong Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Spicers Sangoma Retreat,to do,,acc_50ce289c9223,Researching,Spicers Sangoma Retreat,AU,Bowen Mountain,8.1,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Spicers Sangoma Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Seranin | Gordon,to do,,acc_6bb4cbb1a3e4,Researching,Seranin | Gordon,AU,Gordon,8.03,Medium-High,Keep,A,top_ranked,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Seranin | Gordon: krátky postreh,Sydney 100.csv
Lead outreach - Quest Bella Vista,to do,,acc_85a1025fc0d6,Researching,Quest Bella Vista,AU,Bella Vista,7.98,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Quest Bella Vista: krátky postreh,Sydney 100.csv
Lead outreach - Royal Hotel,to do,,acc_30048fcea764,Researching,Royal Hotel,AU,Springwood,7.97,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Royal Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Quest Penrith,to do,,acc_401880adbecd,Researching,Quest Penrith,AU,Penrith,7.96,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Quest Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Doonside Hotel,to do,,acc_40da1daa32cc,Researching,Doonside Hotel,AU,Doonside,7.94,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Doonside Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Lucky Australian Hotel,to do,,acc_42f76f030265,Researching,Lucky Australian Hotel,AU,North St Marys,7.82,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Lucky Australian Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Overlander Hotel,to do,,acc_2dcdede0d879,Researching,Overlander Hotel,AU,Cambridge Gardens,7.81,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Overlander Hotel: krátky postreh,Sydney 100.csv
Lead outreach - The Tropicana Hotel,to do,,acc_b00f68991e06,Researching,The Tropicana Hotel,AU,Wilberforce,7.8,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,The Tropicana Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Silkari Mirage at Newport,to do,,acc_ea167e4b5929,Researching,Silkari Mirage at Newport,AU,Newport,7.77,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Silkari Mirage at Newport: krátky postreh,Sydney 100.csv
Lead outreach - St Marys Hotel,to do,,acc_f0cd815b5279,Researching,St Marys Hotel,AU,St Marys,7.76,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,St Marys Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Hornsby Railway Hotel,to do,,acc_0b282bf71426,Researching,Hornsby Railway Hotel,AU,Hornsby,7.75,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hornsby Railway Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Wisemans Retreat,to do,,acc_a3552dd1f448,Researching,Wisemans Retreat,AU,Wisemans Ferry,7.65,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Wisemans Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Blacktown Tavern,to do,,acc_de8718696d9d,Researching,Blacktown Tavern,AU,Blacktown,7.65,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Blacktown Tavern: krátky postreh,Sydney 100.csv
Lead outreach - Time and Tide Hotel,to do,,acc_6a836cfd34df,Researching,Time and Tide Hotel,AU,Dee Why,7.65,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Time and Tide Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Wallacia Hotel,to do,,acc_d8b3b2ae1818,Researching,Wallacia Hotel,AU,Wallacia,7.65,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Wallacia Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Gateway Motel,to do,,acc_98f1c261dbe2,Researching,Gateway Motel,AU,Vineyard,7.6,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Gateway Motel: krátky postreh,Sydney 100.csv
Lead outreach - Killara Hotel & Suites,to do,,acc_0896e3e596db,Researching,Killara Hotel & Suites,AU,Killara,7.6,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Killara Hotel & Suites: krátky postreh,Sydney 100.csv
Lead outreach - Nesuto Pennant Hills Apartment Hotel,to do,,acc_1d8f04b549ce,Researching,Nesuto Pennant Hills Apartment Hotel,AU,Pennant Hills,7.58,Medium-High,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Nesuto Pennant Hills Apartment Hotel: krátky postreh,Sydney 100.csv
Lead outreach - The Select Inn Penrith | Hotel in Penrith,to do,3,acc_cf3b7806b0c4,Researching,The Select Inn Penrith | Hotel in Penrith,AU,Penrith,7.49,Medium,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,The Select Inn Penrith | Hotel in Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Littomore Suites Kingswood,to do,3,acc_800415c6d08f,Researching,Littomore Suites Kingswood,AU,Kingswood,7.45,Medium,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Littomore Suites Kingswood: krátky postreh,Sydney 100.csv
Lead outreach - Astina Suites,to do,3,acc_e6298bd0feb2,Researching,Astina Suites,AU,Penrith,7.44,Medium,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Astina Suites: krátky postreh,Sydney 100.csv
Lead outreach - Checkers Resort & Conference Centre,to do,3,acc_1af3327afca6,Researching,Checkers Resort & Conference Centre,AU,Terrey Hills,7.44,Medium,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Checkers Resort & Conference Centre: krátky postreh,Sydney 100.csv
Lead outreach - Quality Inn Penrith,to do,3,acc_55f6a716cc6b,Researching,Quality Inn Penrith,AU,Jamisontown,7.44,Medium,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Quality Inn Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Punthill Apartment Hotels | Norwest,to do,3,acc_bfbf05dbd84f,Researching,Punthill Apartment Hotels | Norwest,AU,Norwest,7.42,Medium,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Punthill Apartment Hotels | Norwest: krátky postreh,Sydney 100.csv
Lead outreach - Parkway Hotel,to do,3,acc_d7ac2de6e992,Researching,Parkway Hotel,AU,Frenchs Forest,7.42,Medium,Keep,B,geo_mismatch | phone_missing,geo_mismatch | phone_missing,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Parkway Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Relaxin,to do,3,acc_68987c26bd89,Researching,Relaxin,AU,Middle Dural,7.4,Medium,Keep,B,geo_mismatch,geo_mismatch,Low,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Relaxin: krátky postreh,Sydney 100.csv
