Task name,Status,Priority,Account Status,Hotel name,Country,City / Region,Hotel Type,Rooms Range,Contact website,Source,Priority score,Priority Level,ICP Fit,OTA Dependency Signal,Direct Booking Weakness,Main Pain Hypothesis,Commercial Verdict,Subject line,Source file
Lead outreach - Billabong Retreat,to do,2,Prioritized,Billabong Retreat,AU,Maraylya,Preferred hotel,,http://www.billabongretreat.com.au/,Raw lead sheet: Sydney 100.csv,8.1,High,Keep,Low,Medium,"Možný bottleneck je nejasnosť v presnej veľkosti hotela a rozsahu služieb, čo môže komplikovať personalizáciu ponuky.",zaujímavý prospect,Billabong Retreat: krátky postreh k prvému kontaktu,Sydney 100.csv
Lead outreach - The Hornsby Inn,to do,2,Prioritized,The Hornsby Inn,AU,Hornsby,Preferred hotel,1-15,https://hornsbyinn.com.au/,Raw lead sheet: Sydney 100.csv,8.13,High,Keep,Low,Medium,Možná zložitosť v koordinácii a správe nočných prevádzkových hodín môže spôsobiť oneskorenia v reakcii na dopyty alebo rezervácie.,zaujímavý prospect,The Hornsby Inn: krátky postreh k event dopytu,Sydney 100.csv
Lead outreach - Miramare Gardens,to do,2,Prioritized,Miramare Gardens,AU,Terrey Hills,Preferred hotel,,https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Raw lead sheet: Sydney 100.csv,8.14,Medium-High,Keep,Low,Medium,"Možný bottleneck je nejasnosť ohľadom kapacity a služieb, čo môže komplikovať presné zacielenie ponúk.",zaujímavý prospect,Miramare Gardens: krátky postreh k event dopytu,Sydney 100.csv
Lead outreach - Jonah’s Restaurant & Boutique Hotel,to do,2,Researching,Jonah’s Restaurant & Boutique Hotel,AU,Palm Beach,Preferred hotel,,http://www.jonahs.com.au/,Raw lead sheet: Sydney 100.csv,8.14,Medium-High,Keep,Low,Medium,"Možný bottleneck je nejasnosť v prevádzkových hodinách a dostupnosti služieb, čo môže sťažovať efektívnu komunikáciu s potenciálnymi zákazníkmi.",zaujímavý prospect,Jonah’s Restaurant & Boutique Hotel: krátky postreh k event dopytu,Sydney 100.csv
Lead outreach - Quest Bella Vista,to do,2,Researching,Quest Bella Vista,AU,Bella Vista,Preferred hotel,,http://www.questapartments.com.au/properties/nsw/bella-vista/quest-bella-vista/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=bellavista,Raw lead sheet: Sydney 100.csv,7.98,Medium-High,Keep,Low,Medium,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",zaujímavý prospect,Quest Bella Vista: krátky nápad,Sydney 100.csv
Lead outreach - Quest Penrith,to do,2,Researching,Quest Penrith,AU,Penrith,Preferred hotel,,https://www.questapartments.com.au/properties/nsw/penrith/quest-penrith,Raw lead sheet: Sydney 100.csv,7.96,Medium-High,Keep,Low,Medium,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",zaujímavý prospect,Quest Penrith: krátky nápad,Sydney 100.csv
Lead outreach - Spicers Sangoma Retreat,to do,2,Researching,Spicers Sangoma Retreat,AU,Bowen Mountain,Preferred hotel,,https://spicersretreats.com/retreats/spicers-sangoma-retreat/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Raw lead sheet: Sydney 100.csv,8.1,Medium-High,Keep,Low,Medium,"Možný bottleneck môže byť v nejasnostiach ohľadom kapacity a prevádzkových hodín, čo komplikuje plánovanie a predaj.",zaujímavý prospect,Spicers Sangoma Retreat: krátky postreh k event dopytu,Sydney 100.csv
Lead outreach - Seranin | Gordon,to do,2,Researching,Seranin | Gordon,AU,Gordon,Preferred hotel,,http://www.seranin.com.au/,Raw lead sheet: Sydney 100.csv,8.03,Medium-High,Keep,Low,Medium,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",zaujímavý prospect,Seranin | Gordon: krátky postreh k praktickým info,Sydney 100.csv
Lead outreach - Royal Hotel,to do,2,Researching,Royal Hotel,AU,Springwood,Preferred hotel,,http://www.royalhotelspringwood.com.au/,Raw lead sheet: Sydney 100.csv,7.97,Medium-High,Keep,Low,Medium,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",opatrný prospect,Royal Hotel: krátky postreh k praktickým info,Sydney 100.csv
Lead outreach - Doonside Hotel,to do,3,Researching,Doonside Hotel,AU,Doonside,Preferred hotel,,https://www.doonsidehotel.com/,Raw lead sheet: Sydney 100.csv,7.94,Medium,Keep,Low,Medium,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",opatrný prospect,Doonside Hotel: krátky postreh k praktickým info,Sydney 100.csv
