Task name,Status,Priority,Account Status,Hotel name,Country,City / Region,Hotel Type,Rooms Range,Contact website,Source,Priority score,Priority Level,ICP Fit,OTA Dependency Signal,Direct Booking Weakness,Main Pain Hypothesis,Commercial Verdict,Subject line,Source file
Lead outreach - Jonah’s Restaurant & Boutique Hotel,to do,2,Researching,Jonah’s Restaurant & Boutique Hotel,AU,Palm Beach,Preferred hotel,,http://www.jonahs.com.au/,Raw lead sheet: Sydney 100.csv,8.14,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Jonah’s Restaurant & Boutique Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Miramare Gardens,to do,2,Researching,Miramare Gardens,AU,Terrey Hills,Preferred hotel,,https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Raw lead sheet: Sydney 100.csv,8.14,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Miramare Gardens: krátky postreh,Sydney 100.csv
Lead outreach - The Hornsby Inn,to do,2,Researching,The Hornsby Inn,AU,Hornsby,Preferred hotel,,https://hornsbyinn.com.au/,Raw lead sheet: Sydney 100.csv,8.13,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Hornsby Inn: krátky postreh,Sydney 100.csv
Lead outreach - Billabong Retreat,to do,2,Researching,Billabong Retreat,AU,Maraylya,Preferred hotel,,http://www.billabongretreat.com.au/,Raw lead sheet: Sydney 100.csv,8.1,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Billabong Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Spicers Sangoma Retreat,to do,2,Researching,Spicers Sangoma Retreat,AU,Bowen Mountain,Preferred hotel,,https://spicersretreats.com/retreats/spicers-sangoma-retreat/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Raw lead sheet: Sydney 100.csv,8.1,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Spicers Sangoma Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Seranin | Gordon,to do,2,Researching,Seranin | Gordon,AU,Gordon,Preferred hotel,,http://www.seranin.com.au/,Raw lead sheet: Sydney 100.csv,8.03,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Seranin | Gordon: krátky postreh,Sydney 100.csv
Lead outreach - Quest Bella Vista,to do,2,Researching,Quest Bella Vista,AU,Bella Vista,Preferred hotel,,http://www.questapartments.com.au/properties/nsw/bella-vista/quest-bella-vista/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=bellavista,Raw lead sheet: Sydney 100.csv,7.98,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Quest Bella Vista: krátky postreh,Sydney 100.csv
Lead outreach - Royal Hotel,to do,2,Researching,Royal Hotel,AU,Springwood,Preferred hotel,,http://www.royalhotelspringwood.com.au/,Raw lead sheet: Sydney 100.csv,7.97,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Royal Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Quest Penrith,to do,2,Researching,Quest Penrith,AU,Penrith,Preferred hotel,,https://www.questapartments.com.au/properties/nsw/penrith/quest-penrith,Raw lead sheet: Sydney 100.csv,7.96,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Quest Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Doonside Hotel,to do,2,Researching,Doonside Hotel,AU,Doonside,Preferred hotel,,https://www.doonsidehotel.com/,Raw lead sheet: Sydney 100.csv,7.94,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Doonside Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Lucky Australian Hotel,to do,2,Researching,Lucky Australian Hotel,AU,North St Marys,Preferred hotel,,http://theluckyaustralian.com/,Raw lead sheet: Sydney 100.csv,7.82,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Lucky Australian Hotel: krátky postreh,Sydney 100.csv
