Task name,Status,Priority,Account ID,Account Status,Hotel name,Country,City / Region,Priority score,Priority Level,ICP Fit,Rank bucket,Rank bucket reason,Why not top tier,Chain signal confidence,Ranking reason,Main Pain Hypothesis,Subject line,Source file
Lead outreach - Loft Hotel Bratislava,to do,2,acc_289b11d6c3e4,Prioritized,Loft Hotel Bratislava,SK,Bratislava,9.37,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Loft Hotel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,to do,2,acc_f249bf38e267,Prioritized,CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,SK,Bratislava,9.36,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - HOTEL BRATISLAVA,to do,2,acc_7be2b5705eed,Prioritized,HOTEL BRATISLAVA,SK,Bratislava,9.36,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,HOTEL BRATISLAVA: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Gracia Bratislava,to do,2,acc_bf643e4ae55a,Prioritized,Hotel Gracia Bratislava,SK,Bratislava,9.35,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Gracia Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - SKARITZ Hotel & Residence,to do,2,acc_bc0ee9d6150b,Prioritized,SKARITZ Hotel & Residence,SK,Bratislava,9.21,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,SKARITZ Hotel & Residence: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - William's apartments s.r.o,to do,2,acc_91cc7fd3daeb,Prioritized,William's apartments s.r.o,SK,Bratislava,9.08,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,William's apartments s.r.o: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - HOTEL DEVÍN,to do,2,acc_a33ba9d035ac,Prioritized,HOTEL DEVÍN,SK,Bratislava,9.04,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,HOTEL DEVÍN: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Falkensteiner Hotel Bratislava,to do,2,acc_ea770ab6cc4e,Prioritized,Falkensteiner Hotel Bratislava,SK,Bratislava,9.04,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Falkensteiner Hotel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Color,to do,2,acc_a917450c7e8d,Prioritized,Hotel Color,SK,Bratislava,9.04,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Color: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Divoká voda,to do,2,acc_411bb39fa87f,Prioritized,Hotel Divoká voda,SK,Bratislava,9.04,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Divoká voda: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
